input,status,error,joint,N,e,D,M,M_abs,reduction_factor,N_red,M_abs_red,txt,out,plot,arch_plot
klenba_3.in,OK,,20,90.001385,0.084714,0.14,1.3242803788899993,1.3242803788899993,0.9988734363018548,89.8999927068762,1.3227884926889757,..\klenba_batch_outputs\klenba_3.txt,..\klenba_batch_outputs\klenba_3.out,..\klenba_batch_outputs\klenba_3_interaction.png,..\klenba_batch_outputs\klenba_3_arch.png
klenba_3.in,OK,,21,90.239017,0.085814,0.14,1.4270398148379997,1.4270398148379997,0.9988734363018548,90.1373569992915,1.4254321635867953,..\klenba_batch_outputs\klenba_3.txt,..\klenba_batch_outputs\klenba_3.out,..\klenba_batch_outputs\klenba_3_interaction.png,..\klenba_batch_outputs\klenba_3_arch.png
klenba_3.in,OK,,22,90.486385,0.084979,0.14,1.3553955609149992,1.3553955609149992,0.9988734363018548,90.3844463234826,1.3538686214794453,..\klenba_batch_outputs\klenba_3.txt,..\klenba_batch_outputs\klenba_3.out,..\klenba_batch_outputs\klenba_3_interaction.png,..\klenba_batch_outputs\klenba_3_arch.png
klenba_3.in,OK,,23,90.750991,0.082312,0.14,1.117326201191999,1.117326201191999,0.9988734363018548,90.6487542279687,1.1160674620547497,..\klenba_batch_outputs\klenba_3.txt,..\klenba_batch_outputs\klenba_3.out,..\klenba_batch_outputs\klenba_3_interaction.png,..\klenba_batch_outputs\klenba_3_arch.png
klenba_3.in,OK,,24,91.040898,0.077926,0.14,0.7215901575479989,0.7215901575479989,0.9988734363018548,90.93833462926665,0.7207772402715664,..\klenba_batch_outputs\klenba_3.txt,..\klenba_batch_outputs\klenba_3.out,..\klenba_batch_outputs\klenba_3_interaction.png,..\klenba_batch_outputs\klenba_3_arch.png
klenba_3.in,OK,,25,91.364621,0.071943,0.14,0.17752145860299876,0.17752145860299876,0.9988734363018548,91.26169293468661,0.17732146937209484,..\klenba_batch_outputs\klenba_3.txt,..\klenba_batch_outputs\klenba_3.out,..\klenba_batch_outputs\klenba_3_interaction.png,..\klenba_batch_outputs\klenba_3_arch.png
klenba_4.in,OK,,0,103.260497,0.085652,0.14,1.616233299044,1.616233299044,0.9988155997999403,103.13819524669493,1.6143190320012692,..\klenba_batch_outputs\klenba_4.txt,..\klenba_batch_outputs\klenba_4.out,..\klenba_batch_outputs\klenba_4_interaction.png,..\klenba_batch_outputs\klenba_4_arch.png
klenba_4.in,OK,,1,102.187778,0.077957,0.14,0.8131081495459991,0.8131081495459991,0.9988155997999403,102.06674677529314,0.8121451040910066,..\klenba_batch_outputs\klenba_4.txt,..\klenba_batch_outputs\klenba_4.out,..\klenba_batch_outputs\klenba_4_interaction.png,..\klenba_batch_outputs\klenba_4_arch.png
klenba_4.in,OK,,2,100.976634,0.071177,0.14,0.11884949821799976,0.11884949821799976,0.9988155997999403,100.85703725448904,0.11870873284853335,..\klenba_batch_outputs\klenba_4.txt,..\klenba_batch_outputs\klenba_4.out,..\klenba_batch_outputs\klenba_4_interaction.png,..\klenba_batch_outputs\klenba_4_arch.png
klenba_4.in,OK,,3,99.901801,0.065316,0.14,-0.4679400358840008,0.4679400358840008,0.9988155997999403,99.78347728690927,0.4673858076118838,..\klenba_batch_outputs\klenba_4.txt,..\klenba_batch_outputs\klenba_4.out,..\klenba_batch_outputs\klenba_4_interaction.png,..\klenba_batch_outputs\klenba_4_arch.png
klenba_4.in,OK,,4,98.958396,0.060409,0.14,-0.9491099760360009,0.9491099760360009,0.9988155997999403,98.84118965598,0.9479858499905052,..\klenba_batch_outputs\klenba_4.txt,..\klenba_batch_outputs\klenba_4.out,..\klenba_batch_outputs\klenba_4_interaction.png,..\klenba_batch_outputs\klenba_4_arch.png
